OBJECTID,Kód_ADM,Kód_obce,Název_obce,Název_MOMC,Název_MOP,Kód_části_obce,Název_části_obce,Název_ulice,Typ_SO,Číslo_domovní,Číslo_orientační,Znak_čísla_orientačního,PSČ,Souřadnice_Y,Souřadnice_X,Platí_Od,x,y
193,"21,725,284","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,867,24,,"11,000","742,801.000000000000000","1,042,545.000000000000000",2013-12-11T00:00:00,"458,625.644220788960000","5,549,067.390317820000000"
194,"21,725,292","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,U milosrdných,č.p.,867,2,,"11,000","742,793.000000000000000","1,042,538.000000000000000",2013-12-11T00:00:00,"458,632.676381870170000","5,549,075.359711453300000"
195,"21,725,306","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,868,10,,"11,000","742,794.000000000000000","1,042,615.000000000000000",2013-12-11T00:00:00,"458,641.586204455230000","5,548,998.883522156600000"
196,"21,725,314","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,868,18,,"11,000","742,805.000000000000000","1,042,624.000000000000000",2013-12-11T00:00:00,"458,631.836615639740000","5,548,988.545309288400000"
197,"21,725,322","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,869,12,,"11,000","742,774.359999999990000","1,042,620.670000000000000",2013-12-11T00:00:00,"458,661.789062323050000","5,548,995.787029257000000"
198,"21,725,331","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,886,19,,"11,000","742,823.000000000000000","1,042,528.000000000000000",2013-12-11T00:00:00,"458,601.644425503910000","5,549,081.417350182300000"
199,"21,725,349","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,náměstí Curieových,č.p.,886,2,,"11,000","742,848.000000000000000","1,042,503.000000000000000",2013-12-11T00:00:00,"458,573.641311458310000","5,549,102.990839038000000"
200,"21,725,357","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,900,7,,"11,000","742,849.000000000000000","1,042,603.000000000000000",2013-12-11T00:00:00,"458,585.508679131980000","5,549,003.709515152500000"
201,"21,725,365","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Bílkova,č.p.,900,9,,"11,000","742,834.000000000000000","1,042,601.000000000000000",2013-12-11T00:00:00,"458,600.124534785750000","5,549,007.621388327300000"
202,"21,725,373","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,900,17,,"11,000","742,826.000000000000000","1,042,580.000000000000000",2013-12-11T00:00:00,"458,605.356448655020000","5,549,029.472165519400000"
203,"21,725,420","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,905,4,,"11,000","742,760.370000000000000","1,042,817.180000000100000",2013-12-11T00:00:00,"458,700.929717635740000","5,548,802.740952998400000"
204,"21,725,438","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,906,8,,"11,000","742,777.319999999950000","1,042,788.960000000000000",2013-12-11T00:00:00,"458,680.494399064220000","5,548,828.542283333800000"
205,"21,725,446","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Dušní,č.p.,907,10,,"11,000","742,788.000000000000000","1,042,771.000000000000000",2013-12-11T00:00:00,"458,667.595335327090000","5,548,844.976792223800000"
206,"21,725,454","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,907,9,,"11,000","742,775.000000000000000","1,042,761.000000000000000",2013-12-11T00:00:00,"458,679.199404024520000","5,548,856.563710555400000"
207,"21,725,462","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,908,7,,"11,000","742,760.890000000010000","1,042,774.760000000000000",2013-12-11T00:00:00,"458,694.959358961320000","5,548,844.734673624900000"
208,"21,725,471","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,909,6,,"11,000","742,743.500000000000000","1,042,747.520000000000000",2013-12-11T00:00:00,"458,708.699388365260000","5,548,873.980023099100000"
209,"21,725,489","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,V kolkovně,č.p.,910,8,,"11,000","742,770.000000000000000","1,042,742.000000000000000",2013-12-11T00:00:00,"458,681.713885028850000","5,548,876.045669252100000"
210,"21,725,497","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,910,2,,"11,000","742,767.000000000000000","1,042,726.000000000000000",2013-12-11T00:00:00,"458,682.631063223820000","5,548,892.295869767700000"
211,"21,725,501","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,911,4,,"11,000","742,742.199999999950000","1,042,720.610000000000000",2013-12-11T00:00:00,"458,706.528047180730000","5,548,900.829185513800000"
212,"21,725,519","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,912,6,,"11,000","742,726.939999999940000","1,042,713.700000000000000",2013-12-11T00:00:00,"458,720.770326578060000","5,548,909.642892319700000"
213,"21,725,527","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,913,8,,"11,000","742,713.239999999990000","1,042,706.640000000000000",2013-12-11T00:00:00,"458,733.446522066370000","5,548,918.404730605000000"
214,"21,725,535","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,914,9,,"11,000","742,680.000000000000000","1,042,693.000000000000000",2013-12-11T00:00:00,"458,764.651201995090000","5,548,936.203427482400000"
215,"21,725,543","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Vězeňská,č.p.,914,10,,"11,000","742,693.000000000000000","1,042,692.000000000000000",2013-12-11T00:00:00,"458,751.632652615200000","5,548,935.523310326000000"
216,"21,725,551","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,915,7,,"11,000","742,684.079999999960000","1,042,710.980000000000000",2013-12-11T00:00:00,"458,762.917772030460000","5,548,917.851130029200000"
217,"21,725,560","554,782",Praha,Praha 1,Praha 1,"400,017",Staré Město,Kozí,č.p.,916,5,,"11,000","742,690.260000000010000","1,042,731.370000000000000",2013-12-11T00:00:00,"458,759.412018246020000","5,548,896.839216938200000"
